num,item,block,verdict,basis,gap_id,note
1,Prompt intent classifier,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
2,Prompt ambiguity detector,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
3,Intent confidence scoring,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
4,Multi-intent detection,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
5,Prompt normalization pipeline,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
6,Context enrichment engine,P1.1 Reasoning,COVERED,ITEM,,"Covered under other terms: context packages, plan revision, deliberation, self-improvement, decision criteria, candidate branching (BS §28/§65/§68/§80.4; TA §19/§30/§59)"
7,Domain vocabulary expansion,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
8,Entity extraction pipeline,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
9,Feature request extraction,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
10,User goal reconstruction,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
11,Task decomposition engine,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
12,Goal hierarchy generator,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
13,Task dependency graph builder,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
14,Milestone planner,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
15,Step priority ranking,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
16,Planning constraint solver,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
17,Planning feasibility checker,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
18,Requirement satisfaction validator,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
19,Iterative planning refinement,P1.1 Reasoning,COVERED,ITEM,,"Covered under other terms: context packages, plan revision, deliberation, self-improvement, decision criteria, candidate branching (BS §28/§65/§68/§80.4; TA §19/§30/§59)"
20,Plan completeness validator,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
21,Chain-of-thought generation system,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
22,Step verification engine,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
23,Logical inference checker,P1.1 Reasoning,COVERED,ITEM,,"Covered under other terms: context packages, plan revision, deliberation, self-improvement, decision criteria, candidate branching (BS §28/§65/§68/§80.4; TA §19/§30/§59)"
24,Hypothesis generation module,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
25,Hypothesis ranking system,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
26,Alternative solution generator,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
27,Reasoning branch explorer,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
28,Decision scoring system,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
29,Reasoning consistency validator,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
30,Reasoning conflict detector,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
31,Context relevance scoring,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
32,Token budget allocator,P1.1 Reasoning,COVERED,ITEM,,"Covered under other terms: context packages, plan revision, deliberation, self-improvement, decision criteria, candidate branching (BS §28/§65/§68/§80.4; TA §19/§30/§59)"
33,Context compression system,P1.1 Reasoning,COVERED_FAMILY,FAMILY,,"Reasoning/context/retrieval/validation mechanisms: BS §49, §52, §53, §66, §68, §69; TA §19, §55, §58, §59, §71-72"
